subject, condition, nAverages, accuracy, nCorrect, nCued
S1, oddball, 1, 73.61, 53, 72
S1, oddball, 2, 83.33, 60, 72
S1, oddball, 3, 91.67, 66, 72
S1, oddball, 4, 94.44, 68, 72
S1, oddball, 5, 91.67, 66, 72
S1, oddball, 6, 95.83, 69, 72
S1, oddball, 7, 98.61, 71, 72
S1, oddball, 8, 98.61, 71, 72
S1, oddball, 9, 100.00, 72, 72
S1, oddball, 10, 100.00, 72, 72
S1, hybrid-12Hz, 1, 61.11, 44, 72
S1, hybrid-12Hz, 2, 76.39, 55, 72
S1, hybrid-12Hz, 3, 86.11, 62, 72
S1, hybrid-12Hz, 4, 90.28, 65, 72
S1, hybrid-12Hz, 5, 93.06, 67, 72
S1, hybrid-12Hz, 6, 91.67, 66, 72
S1, hybrid-12Hz, 7, 91.67, 66, 72
S1, hybrid-12Hz, 8, 93.06, 67, 72
S1, hybrid-12Hz, 9, 100.00, 72, 72
S1, hybrid-12Hz, 10, 95.83, 69, 72
S1, hybrid-15Hz, 1, 76.39, 55, 72
S1, hybrid-15Hz, 2, 87.50, 63, 72
S1, hybrid-15Hz, 3, 97.22, 70, 72
S1, hybrid-15Hz, 4, 95.83, 69, 72
S1, hybrid-15Hz, 5, 97.22, 70, 72
S1, hybrid-15Hz, 6, 98.61, 71, 72
S1, hybrid-15Hz, 7, 100.00, 72, 72
S1, hybrid-15Hz, 8, 98.61, 71, 72
S1, hybrid-15Hz, 9, 100.00, 72, 72
S1, hybrid-15Hz, 10, 98.61, 71, 72
S2, oddball, 1, 91.67, 66, 72
S2, oddball, 2, 95.83, 69, 72
S2, oddball, 3, 97.22, 70, 72
S2, oddball, 4, 95.83, 69, 72
S2, oddball, 5, 98.61, 71, 72
S2, oddball, 6, 98.61, 71, 72
S2, oddball, 7, 100.00, 72, 72
S2, oddball, 8, 98.61, 71, 72
S2, oddball, 9, 100.00, 72, 72
S2, oddball, 10, 100.00, 72, 72
S2, hybrid-12Hz, 1, 58.33, 42, 72
S2, hybrid-12Hz, 2, 68.06, 49, 72
S2, hybrid-12Hz, 3, 72.22, 52, 72
S2, hybrid-12Hz, 4, 72.22, 52, 72
S2, hybrid-12Hz, 5, 80.56, 58, 72
S2, hybrid-12Hz, 6, 79.17, 57, 72
S2, hybrid-12Hz, 7, 84.72, 61, 72
S2, hybrid-12Hz, 8, 83.33, 60, 72
S2, hybrid-12Hz, 9, 83.33, 60, 72
S2, hybrid-12Hz, 10, 86.11, 62, 72
S2, hybrid-15Hz, 1, 59.72, 43, 72
S2, hybrid-15Hz, 2, 87.50, 63, 72
S2, hybrid-15Hz, 3, 91.67, 66, 72
S2, hybrid-15Hz, 4, 94.44, 68, 72
S2, hybrid-15Hz, 5, 93.06, 67, 72
S2, hybrid-15Hz, 6, 94.44, 68, 72
S2, hybrid-15Hz, 7, 95.83, 69, 72
S2, hybrid-15Hz, 8, 98.61, 71, 72
S2, hybrid-15Hz, 9, 100.00, 72, 72
S2, hybrid-15Hz, 10, 100.00, 72, 72
S3, oddball, 1, 48.61, 35, 72
S3, oddball, 2, 76.39, 55, 72
S3, oddball, 3, 73.61, 53, 72
S3, oddball, 4, 77.78, 56, 72
S3, oddball, 5, 81.94, 59, 72
S3, oddball, 6, 90.28, 65, 72
S3, oddball, 7, 98.61, 71, 72
S3, oddball, 8, 97.22, 70, 72
S3, oddball, 9, 98.61, 71, 72
S3, oddball, 10, 100.00, 72, 72
S3, hybrid-12Hz, 1, 54.17, 39, 72
S3, hybrid-12Hz, 2, 61.11, 44, 72
S3, hybrid-12Hz, 3, 72.22, 52, 72
S3, hybrid-12Hz, 4, 69.44, 50, 72
S3, hybrid-12Hz, 5, 72.22, 52, 72
S3, hybrid-12Hz, 6, 77.78, 56, 72
S3, hybrid-12Hz, 7, 87.50, 63, 72
S3, hybrid-12Hz, 8, 87.50, 63, 72
S3, hybrid-12Hz, 9, 86.11, 62, 72
S3, hybrid-12Hz, 10, 90.28, 65, 72
S3, hybrid-15Hz, 1, 51.39, 37, 72
S3, hybrid-15Hz, 2, 73.61, 53, 72
S3, hybrid-15Hz, 3, 81.94, 59, 72
S3, hybrid-15Hz, 4, 87.50, 63, 72
S3, hybrid-15Hz, 5, 87.50, 63, 72
S3, hybrid-15Hz, 6, 90.28, 65, 72
S3, hybrid-15Hz, 7, 93.06, 67, 72
S3, hybrid-15Hz, 8, 94.44, 68, 72
S3, hybrid-15Hz, 9, 95.83, 69, 72
S3, hybrid-15Hz, 10, 95.83, 69, 72
